post_id,title,url,publication_date,modified_date,provenance
14950,Alphybettyformed Verbage,https://lettersfortitles.com/alphybettyformed-verbage/,2020-05-26,2023-09-09,repository data/corpus.json; WordPress REST API harvest; day precision
11672,"O Yes, W.",https://lettersfortitles.com/o-yes-w/,2022-03-21,2022-10-04,repository data/corpus.json; WordPress REST API harvest; day precision
11782,Vern Tonkin,https://lettersfortitles.com/vern-tonkin/,2022-03-22,2026-01-17,repository data/corpus.json; WordPress REST API harvest; day precision
11701,Bibliography,https://lettersfortitles.com/bibliography/,2022-03-23,2026-01-18,repository data/corpus.json; WordPress REST API harvest; day precision
11751,Decode,https://lettersfortitles.com/decode/,2022-03-24,2022-07-12,repository data/corpus.json; WordPress REST API harvest; day precision
7999,ᛠ,https://lettersfortitles.com/%e1%9b%a0/,2022-03-25,2025-12-24,repository data/corpus.json; WordPress REST API harvest; day precision
7985,ᚠ,https://lettersfortitles.com/%e1%9a%a0/,2022-03-28,2022-07-12,repository data/corpus.json; WordPress REST API harvest; day precision
7834,Rune Casting: Ear,https://lettersfortitles.com/rune-casting-ear/,2022-03-29,2026-01-18,repository data/corpus.json; WordPress REST API harvest; day precision
7826,Rune Casting: Feoh,https://lettersfortitles.com/rune-casting-feoh/,2022-03-30,2022-07-12,repository data/corpus.json; WordPress REST API harvest; day precision
7875,Against every Evil Rune Poem,https://lettersfortitles.com/against-every-evil-rune-poem/,2022-03-31,2022-07-12,repository data/corpus.json; WordPress REST API harvest; day precision
7972,How to Move a Cow,https://lettersfortitles.com/how-to-move-a-cow/,2022-04-01,2022-07-12,repository data/corpus.json; WordPress REST API harvest; day precision
7909,F is for Finis,https://lettersfortitles.com/f-is-for-finis/,2022-04-04,2023-04-02,repository data/corpus.json; WordPress REST API harvest; day precision
8018,X≠Y≠Z: Rune Casting!,https://lettersfortitles.com/x%e2%89%a0y%e2%89%a0z-death-and-cattle/,2022-04-05,2022-07-12,repository data/corpus.json; WordPress REST API harvest; day precision
7937,Octave,https://lettersfortitles.com/octave/,2022-04-06,2023-02-14,repository data/corpus.json; WordPress REST API harvest; day precision
7963,How to Die,https://lettersfortitles.com/how-to-die/,2022-04-07,2022-07-12,repository data/corpus.json; WordPress REST API harvest; day precision
7921,The Oxen of the Sun,https://lettersfortitles.com/the-oxen-of-the-sun/,2022-04-08,2026-01-18,repository data/corpus.json; WordPress REST API harvest; day precision
7816,Everything is Temporary,https://lettersfortitles.com/everything-temporary/,2022-04-11,2022-11-15,repository data/corpus.json; WordPress REST API harvest; day precision
7901,X≠Y≠Z: 1984,https://lettersfortitles.com/x-%e2%89%a0-y-%e2%89%a0-z-1984/,2022-04-12,2022-07-12,repository data/corpus.json; WordPress REST API harvest; day precision
7839,F is for Fee,https://lettersfortitles.com/f-is-for-fee/,2022-04-13,2023-09-08,repository data/corpus.json; WordPress REST API harvest; day precision
8007,COW,https://lettersfortitles.com/cow/,2022-04-14,2023-09-08,repository data/corpus.json; WordPress REST API harvest; day precision
7637,X is not Y and Neither is Z,https://lettersfortitles.com/x-%e2%89%a0-y-%e2%89%a0-z/,2022-04-15,2023-09-09,repository data/corpus.json; WordPress REST API harvest; day precision
7871,EA is for Death,https://lettersfortitles.com/ea-is-for-death/,2022-04-18,2026-01-18,repository data/corpus.json; WordPress REST API harvest; day precision
8028,How to Dig my Grave,https://lettersfortitles.com/how-to-dig-my-grave/,2022-04-19,2022-07-12,repository data/corpus.json; WordPress REST API harvest; day precision
7935,Byþ,https://lettersfortitles.com/byth/,2022-04-20,2022-07-12,repository data/corpus.json; WordPress REST API harvest; day precision
7748,Translating Ear,https://lettersfortitles.com/translating-ear/,2022-04-21,2022-08-13,repository data/corpus.json; WordPress REST API harvest; day precision
7773,Translating Feoh,https://lettersfortitles.com/translating-feoh/,2022-04-22,2022-07-12,repository data/corpus.json; WordPress REST API harvest; day precision
7656,Stanza 1: Wealth,https://lettersfortitles.com/stanza-1-wealth/,2022-04-25,2022-07-12,repository data/corpus.json; WordPress REST API harvest; day precision
7654,Stanza 29: The Grave,https://lettersfortitles.com/the-grave/,2022-04-26,2022-11-07,repository data/corpus.json; WordPress REST API harvest; day precision
8252,ᚢ,https://lettersfortitles.com/%e1%9a%a2/,2022-04-27,2023-09-09,repository data/corpus.json; WordPress REST API harvest; day precision
8254,ᛡ,https://lettersfortitles.com/%e1%9b%a1/,2022-04-28,2023-09-09,repository data/corpus.json; WordPress REST API harvest; day precision
8153,Rune Casting: Ur,https://lettersfortitles.com/rune-casting-ur/,2022-04-29,2022-07-13,repository data/corpus.json; WordPress REST API harvest; day precision
8161,Rune Casting: Ior,https://lettersfortitles.com/rune-casting-ior/,2022-05-02,2022-07-13,repository data/corpus.json; WordPress REST API harvest; day precision
8189,How to Milk a Beaver,https://lettersfortitles.com/how-to-milk-a-beaver/,2022-05-03,2022-07-13,repository data/corpus.json; WordPress REST API harvest; day precision
8272,IO is for I/O,https://lettersfortitles.com/io-is-for-i-o/,2022-05-04,2022-07-13,repository data/corpus.json; WordPress REST API harvest; day precision
8268,Axaxaxas mlö,https://lettersfortitles.com/axaxaxas-mlo/,2022-05-05,2022-07-13,repository data/corpus.json; WordPress REST API harvest; day precision
12412,Wyrd,https://lettersfortitles.com/wyrd/,2022-05-06,2023-09-09,repository data/corpus.json; WordPress REST API harvest; day precision
8171,How to go Extinct,https://lettersfortitles.com/how-to-go-extinct/,2022-05-09,2022-07-13,repository data/corpus.json; WordPress REST API harvest; day precision
8091,Moody Joy,https://lettersfortitles.com/moody-joy/,2022-05-10,2022-07-13,repository data/corpus.json; WordPress REST API harvest; day precision
8146,Bad Idea,https://lettersfortitles.com/bad-idea/,2022-05-11,2022-07-13,repository data/corpus.json; WordPress REST API harvest; day precision
8219,The Aurochs and the Beaver,https://lettersfortitles.com/the-aurochs-and-the-beaver/,2022-05-12,2022-07-13,repository data/corpus.json; WordPress REST API harvest; day precision
8233,X≠Y≠Z: What is that?,https://lettersfortitles.com/x%e2%89%a0y%e2%89%a0z-what-is-that/,2022-05-13,2022-07-13,repository data/corpus.json; WordPress REST API harvest; day precision
8280,U is for Expnged,https://lettersfortitles.com/u-is-for-expnged/,2022-05-16,2022-07-13,repository data/corpus.json; WordPress REST API harvest; day precision
8285,How to Look Joyful,https://lettersfortitles.com/how-to-look-joyful/,2022-05-17,2022-07-13,repository data/corpus.json; WordPress REST API harvest; day precision
