manual_id,archive_position,title,url,site_chapter_theme,chapter_relation,verification,note
IM001,1,How to See the Pair in the Middle,https://lettersfortitles.com/how-to-see-the-pair-in-the-middle/,Twist / Middle,site category,Instruction Manual tag archive retrieved 2026-08-22,Middle instruction precedes the fourteen paired chapters in archive order
IM002,2,How to Navigate by the Sun,https://lettersfortitles.com/how-to-navigate-by-the-sun/,Sitting to Battle,site category,Instruction Manual tag archive retrieved 2026-08-22,
IM003,3,How to Play the Game,https://lettersfortitles.com/how-to-play-the-game/,Sitting to Battle,site category,Instruction Manual tag archive retrieved 2026-08-22,
IM004,4,How to Make Poison,https://lettersfortitles.com/how-to-make-poison/,Trust,site category,Instruction Manual tag archive retrieved 2026-08-22,
IM005,5,How to Travel by Night,https://lettersfortitles.com/how-to-travel-by-night/,Trust,site category,Instruction Manual tag archive retrieved 2026-08-22,
IM006,6,How to Eat a Birch Tree,https://lettersfortitles.com/how-to-eat-a-birch-tree/,The Future,site category,Instruction Manual tag archive retrieved 2026-08-22,
IM007,7,How to Calculate a New Year,https://lettersfortitles.com/how-to-calculate-a-new-year/,The Future,site category,Instruction Manual tag archive retrieved 2026-08-22,
IM008,8,How to Change the World,https://lettersfortitles.com/stirrup/,War and Peace,site category,Instruction Manual tag archive retrieved 2026-08-22,Canonical slug is stirrup
IM009,9,How to Stab Somebody with an Icicle,https://lettersfortitles.com/how-to-stab-somebody-with-an-icicle/,War and Peace,site category,Instruction Manual tag archive retrieved 2026-08-22,
IM010,10,How to Listen to a Horse,https://lettersfortitles.com/how-to-listen-to-a-horse/,War and Peace,site category,Instruction Manual tag archive retrieved 2026-08-22,
IM011,11,How to Listen Beforehand,https://lettersfortitles.com/how-to-listen-beforehand/,Fate,site category,Instruction Manual tag archive retrieved 2026-08-22,
IM012,12,How to Hold it Together,https://lettersfortitles.com/how-to-hold-it-together/,Fate,site category,Instruction Manual tag archive retrieved 2026-08-22,
IM013,13,How to Go Overboard,https://lettersfortitles.com/how-to-go-overboard/,The Water Cycle,site category,Instruction Manual tag archive retrieved 2026-08-22,
IM014,14,How to Survive a Tornado,https://lettersfortitles.com/how-to-survive-a-tornado/,The Water Cycle,site category,Instruction Manual tag archive retrieved 2026-08-22,
IM015,15,How to be Happy,https://lettersfortitles.com/how-to-be-happy/,Prosperity,site category,Instruction Manual tag archive retrieved 2026-08-22,
IM016,16,How to Skip Town,https://lettersfortitles.com/how-to-skip-town/,Prosperity,site category,Instruction Manual tag archive retrieved 2026-08-22,
IM017,17,How to Banish Family,https://lettersfortitles.com/how-to-banish-family/,You Have Nothing Else,site category,Instruction Manual tag archive retrieved 2026-08-22,
IM018,18,How to Summon an Angel,https://lettersfortitles.com/how-to-summon-an-angel/,You Have Nothing Else,site category,Instruction Manual tag archive retrieved 2026-08-22,
IM019,19,How to Burn the Cotton Library,https://lettersfortitles.com/how-to-burn-the-cotton-library/,Light,site category,Instruction Manual tag archive retrieved 2026-08-22,
IM020,20,How to make a Torch,https://lettersfortitles.com/how-to-make-a-torch/,Light,site category,Instruction Manual tag archive retrieved 2026-08-22,Title capitalization preserved from archive
IM021,21,How to Burn it All Down,https://lettersfortitles.com/how-to-burn-it-all-down/,Light,site category,Instruction Manual tag archive retrieved 2026-08-22,
IM022,22,How to Make Ink,https://lettersfortitles.com/how-to-make-iron-gall-ink/,By Land and By Sea,site category,Instruction Manual tag archive retrieved 2026-08-22,Canonical slug expands the title to iron gall ink
IM023,23,How to Bathe a Gannet,https://lettersfortitles.com/how-to-bathe-a-gannet/,By Land and By Sea,site category,Instruction Manual tag archive retrieved 2026-08-22,
IM024,24,How to Measure a Mile,https://lettersfortitles.com/how-to-measure-a-mile/,By Land and By Sea,site category,Instruction Manual tag archive retrieved 2026-08-22,
IM025,25,How to Talk to God,https://lettersfortitles.com/how-to-talk-to-god/,Axis Mundi,site category,Instruction Manual tag archive retrieved 2026-08-22,
IM026,26,X≠Y≠Z: How to Punch a Tree,https://lettersfortitles.com/x%E2%89%A0y%E2%89%A0z-how-to-punch-a-tree/,Axis Mundi,site category,Instruction Manual tag archive retrieved 2026-08-22,X/Y/Z dialogue also belongs to the Instruction Manual stream
IM027,27,How To Declare War,https://lettersfortitles.com/how-to-declare-war/,They'll Cut You,site category,Instruction Manual tag archive retrieved 2026-08-22,Title capitalization preserved from archive
IM028,28,How to Grab a Thorn,https://lettersfortitles.com/how-to-grab-a-thorn/,They'll Cut You,site category,Instruction Manual tag archive retrieved 2026-08-22,
IM029,29,How to Look Joyful,https://lettersfortitles.com/how-to-look-joyful/,Moody Joy,site category,Instruction Manual tag archive retrieved 2026-08-22,
IM030,30,How to go Extinct,https://lettersfortitles.com/how-to-go-extinct/,Moody Joy,site category,Instruction Manual tag archive retrieved 2026-08-22,Title capitalization preserved from archive
IM031,31,How to Milk a Beaver,https://lettersfortitles.com/how-to-milk-a-beaver/,Moody Joy,site category,Instruction Manual tag archive retrieved 2026-08-22,
IM032,32,How to Dig my Grave,https://lettersfortitles.com/how-to-dig-my-grave/,Everything is Temporary,site category,Instruction Manual tag archive retrieved 2026-08-22,Title capitalization preserved from archive
IM033,33,How to Die,https://lettersfortitles.com/how-to-die/,Everything is Temporary,site category,Instruction Manual tag archive retrieved 2026-08-22,
IM034,34,How to Move a Cow,https://lettersfortitles.com/how-to-move-a-cow/,Everything is Temporary,site category,Instruction Manual tag archive retrieved 2026-08-22,
