archive_position_newest_to_oldest,path_position,page_id,title,url,mode,captured
10,1,P199,Eolhx glyph,https://lettersfortitles.com/%E1%9B%89/,rune glyph,yes
9,2,P201,Rune Casting: Eolhx,https://lettersfortitles.com/rune-casting-eolhx/,divination,yes
8,3,P008,X is for,https://lettersfortitles.com/x-is-for/,Alphabet Book,yes
7,4,P007,Fen,https://lettersfortitles.com/fen/,landscape composition,yes
6,5,P006,Twist,https://lettersfortitles.com/twist/,Duets eponym,yes
5,6,P005,Loop,https://lettersfortitles.com/loop/,Code and Rune Code,yes
4,7,P004,How to See the Pair in the Middle,https://lettersfortitles.com/how-to-see-the-pair-in-the-middle/,Instruction Manual,yes
3,8,P003,Translating Eolhx,https://lettersfortitles.com/translating-helix/,Translation,yes
2,9,P002,Stanza 15: Helix,https://lettersfortitles.com/stanza-15-helix/,Stanza,yes
1,10,P001,The Middle,https://lettersfortitles.com/the-middle/,orientation and terminus,yes
