casting_id,archive_position,title,url,primary_rune_or_span,site_chapter_theme,casting_role,verification,note
RC001,1,Rune Casting: Eolhx,https://lettersfortitles.com/rune-casting-eolhx/,Eolhx,Twist / Middle,direct rune casting,Rune Casting tag archive and page inspected 2026-08-22,Archive begins at the turn and instructs reversal
RC002,2,Rune Casting: Peorþ,https://lettersfortitles.com/rune-casting-peorth/,Peorþ,Sitting to Battle,direct rune casting,Rune Casting tag archive inspected 2026-08-22,
RC003,3,Rune Casting: Sigel,https://lettersfortitles.com/rune-casting-sigel/,Sigel,Sitting to Battle,direct rune casting,Rune Casting tag archive inspected 2026-08-22,
RC004,4,Rune Casting: Eoh,https://lettersfortitles.com/rune-casting-eoh/,Eoh,Trust,direct rune casting,Rune Casting tag archive inspected 2026-08-22,
RC005,5,Rune Casting: Tiw,https://lettersfortitles.com/rune-casting-tiw/,Tiw,Trust,direct rune casting,Rune Casting tag archive inspected 2026-08-22,
RC006,6,Rune Casting: Beorc,https://lettersfortitles.com/rune-casting-beorc/,Beorc,The Future,direct rune casting,Rune Casting tag archive inspected 2026-08-22,
RC007,7,Rune Casting: Ger,https://lettersfortitles.com/rune-casting-ger/,Ger,The Future,direct rune casting,Rune Casting tag archive inspected 2026-08-22,
RC008,8,Rune Casting: Is,https://lettersfortitles.com/rune-casting-is/,Is,War and Peace,direct rune casting,Rune Casting tag archive inspected 2026-08-22,
RC009,9,Rune Casting: Eh,https://lettersfortitles.com/rune-casting-eh/,Eh,War and Peace,direct rune casting,Rune Casting tag archive inspected 2026-08-22,
RC010,10,Rune Casting: Nyd,https://lettersfortitles.com/rune-casting-nyd/,Nyd,Fate,direct rune casting,Rune Casting tag archive inspected 2026-08-22,
RC011,11,Rune Casting: Mann,https://lettersfortitles.com/rune-casting-mann/,Mann,Fate,direct rune casting,Rune Casting tag archive inspected 2026-08-22,
RC012,12,Rune Casting: Lagu,https://lettersfortitles.com/rune-casting-lagu/,Lagu,The Water Cycle,direct rune casting,Rune Casting tag archive inspected 2026-08-22,
RC013,13,Rune Casting: Hægl,https://lettersfortitles.com/rune-casting-haegl/,Hægl,The Water Cycle,direct rune casting,Rune Casting tag archive inspected 2026-08-22,
RC014,14,Rune Casting: Wyn,https://lettersfortitles.com/rune-casting-wyn/,Wyn,Prosperity,direct rune casting,Rune Casting tag archive inspected 2026-08-22,
RC015,15,Rune Casting: Ing,https://lettersfortitles.com/rune-casting-ing/,Ing,Prosperity,direct rune casting,Rune Casting tag archive inspected 2026-08-22,
RC016,16,Rune Casting: Eþel,https://lettersfortitles.com/rune-casting-ethel/,Eþel,You Have Nothing Else,direct rune casting,Rune Casting tag archive inspected 2026-08-22,
RC017,17,Rune Casting: Gifu,https://lettersfortitles.com/rune-casting-gifu/,Gifu,You Have Nothing Else,direct rune casting,Rune Casting tag archive inspected 2026-08-22,
RC018,18,Rune Casting: Dæg,https://lettersfortitles.com/rune-casting-daeg/,Dæg,Light,direct rune casting,Rune Casting tag archive inspected 2026-08-22,
RC019,19,Rune Casting: Cen,https://lettersfortitles.com/rune-casting-cen/,Cen,Light,direct rune casting,Rune Casting tag archive inspected 2026-08-22,
RC020,20,Rune Casting: Ac,https://lettersfortitles.com/rune-casting-ac/,Ac,By Land and By Sea,direct rune casting,Rune Casting tag archive inspected 2026-08-22,
RC021,21,Rune Casting: Rad,https://lettersfortitles.com/rune-casting-rad/,Rad,By Land and By Sea,direct rune casting,Rune Casting tag archive inspected 2026-08-22,
RC022,22,Rune Casting: Æsc,https://lettersfortitles.com/rune-casting-aesc/,Æsc,Axis Mundi,direct rune casting,Rune Casting tag archive inspected 2026-08-22,
RC023,23,Rune Casting: Os,https://lettersfortitles.com/rune-casting-os/,Os,Axis Mundi,direct rune casting,Rune Casting tag archive inspected 2026-08-22,
RC024,24,Rune Casting: Thorn,https://lettersfortitles.com/rune-casting-thorn/,Thorn,They'll Cut You,direct rune casting,Rune Casting tag archive inspected 2026-08-22,
RC025,25,Rune Casting: Yr,https://lettersfortitles.com/rune-casting-yr/,Yr,They'll Cut You,direct rune casting,Rune Casting tag archive inspected 2026-08-22,
RC026,26,Rune Casting: Ior,https://lettersfortitles.com/rune-casting-ior/,Ior,Moody Joy,direct rune casting,Rune Casting tag archive inspected 2026-08-22,
RC027,27,Rune Casting: Ur,https://lettersfortitles.com/rune-casting-ur/,Ur,Moody Joy,direct rune casting,Rune Casting tag archive inspected 2026-08-22,
RC028,28,Translating Feoh,https://lettersfortitles.com/translating-feoh/,Feoh,Everything is Temporary,translation page cross-tagged Rune Casting,Rune Casting tag archive inspected 2026-08-22,Must remain simultaneously in Translation and Rune Casting archive states
RC029,29,X≠Y≠Z: Rune Casting!,https://lettersfortitles.com/x%E2%89%A0y%E2%89%A0z-death-and-cattle/,Ear + Feoh,Everything is Temporary,dialogic cross-rune casting,Rune Casting tag archive inspected 2026-08-22,Stages the outer reflected pair through distinct X Y Z voices
RC030,30,Rune Casting: Feoh,https://lettersfortitles.com/rune-casting-feoh/,Feoh,Everything is Temporary,direct rune casting,Rune Casting tag archive inspected 2026-08-22,
RC031,31,Rune Casting: Ear,https://lettersfortitles.com/rune-casting-ear/,Ear,Everything is Temporary,direct rune casting,Rune Casting tag archive inspected 2026-08-22,Archive closes with the grave after wealth
