glyph_id,archive_position,title,url,rune_index,rune,site_chapter_theme,verification,note
RG001,1,ᛉ,https://lettersfortitles.com/%E1%9B%89/,15,Eolhx,Twist / Middle,Runes tag archive and page inspected 2026-08-22,
RG002,2,ᛈ,https://lettersfortitles.com/%E1%9B%88/,14,Peorþ,Sitting to Battle,Runes tag archive inspected 2026-08-22,
RG003,3,ᛋ,https://lettersfortitles.com/%E1%9B%8B/,16,Sigel,Sitting to Battle,Runes tag archive inspected 2026-08-22,
RG004,4,ᛏ,https://lettersfortitles.com/%E1%9B%8F/,17,Tiw,Trust,Runes tag archive inspected 2026-08-22,
RG005,5,ᛇ,https://lettersfortitles.com/%E1%9B%87/,13,Eoh,Trust,Runes tag archive inspected 2026-08-22,
RG006,6,ᛒ,https://lettersfortitles.com/%E1%9B%92/,18,Beorc,The Future,Runes tag archive inspected 2026-08-22,
RG007,7,ᛄ,https://lettersfortitles.com/%E1%9B%84/,12,Ger,The Future,Runes tag archive inspected 2026-08-22,
RG008,8,ᛁ,https://lettersfortitles.com/%E1%9B%81/,11,Is,War and Peace,Runes tag archive inspected 2026-08-22,
RG009,9,ᛖ,https://lettersfortitles.com/%E1%9B%96/,19,Eh,War and Peace,Runes tag archive inspected 2026-08-22,
RG010,10,ᚾ,https://lettersfortitles.com/%E1%9A%BE/,10,Nyd,Fate,Runes tag archive inspected 2026-08-22,
RG011,11,ᛗ,https://lettersfortitles.com/%E1%9B%97/,20,Mann,Fate,Runes tag archive inspected 2026-08-22,
RG012,12,ᚻ,https://lettersfortitles.com/%E1%9A%BB/,9,Hægl,The Water Cycle,Runes tag archive inspected 2026-08-22,
RG013,13,ᛚ,https://lettersfortitles.com/%E1%9B%9A/,21,Lagu,The Water Cycle,Runes tag archive inspected 2026-08-22,
RG014,14,ᚹ,https://lettersfortitles.com/%E1%9A%B9/,8,Wyn,Prosperity,Runes tag archive inspected 2026-08-22,
RG015,15,ᛝ,https://lettersfortitles.com/%E1%9B%9D/,22,Ing,Prosperity,Runes tag archive inspected 2026-08-22,
RG016,16,ᛟ,https://lettersfortitles.com/%E1%9B%9F/,23,Eþel,You Have Nothing Else,Runes tag archive inspected 2026-08-22,
RG017,17,ᚷ,https://lettersfortitles.com/%E1%9A%B7/,7,Gifu,You Have Nothing Else,Runes tag archive inspected 2026-08-22,
RG018,18,ᚳ,https://lettersfortitles.com/%E1%9A%B3/,6,Cen,Light,Runes tag archive inspected 2026-08-22,
RG019,19,ᛞ,https://lettersfortitles.com/%E1%9B%9E/,24,Dæg,Light,Runes tag archive inspected 2026-08-22,
RG020,20,ᚱ,https://lettersfortitles.com/%E1%9A%B1/,5,Rad,By Land and By Sea,Runes tag archive inspected 2026-08-22,
RG021,21,ᚪ,https://lettersfortitles.com/%E1%9A%AA/,25,Ac,By Land and By Sea,Runes tag archive inspected 2026-08-22,
RG022,22,ᚫ,https://lettersfortitles.com/%E1%9A%AB/,26,Æsc,Axis Mundi,Runes tag archive inspected 2026-08-22,
RG023,23,ᚩ,https://lettersfortitles.com/%E1%9A%A9/,4,Os,Axis Mundi,Runes tag archive inspected 2026-08-22,
RG024,24,ᚣ,https://lettersfortitles.com/%E1%9A%A3/,27,Yr,They'll Cut You,Runes tag archive inspected 2026-08-22,
RG025,25,Þ,https://lettersfortitles.com/th/,3,Thorn,They'll Cut You,Runes tag archive inspected 2026-08-22,Displayed page title is Roman thorn rather than runic glyph
RG026,26,ᛡ,https://lettersfortitles.com/%E1%9B%A1/,28,Ior,Moody Joy,Runes tag archive inspected 2026-08-22,
RG027,27,ᚢ,https://lettersfortitles.com/%E1%9A%A2/,2,Ur,Moody Joy,Runes tag archive inspected 2026-08-22,
RG028,28,ᚠ,https://lettersfortitles.com/%E1%9A%A0/,1,Feoh,Everything is Temporary,Runes tag archive inspected 2026-08-22,
RG029,29,ᛠ,https://lettersfortitles.com/%E1%9B%A0/,29,Ear,Everything is Temporary,Runes tag archive inspected 2026-08-22,
