series,archive_position,title,url,local_capture,note
Riddles,1,Œ is for Œdipean Riddle,https://lettersfortitles.com/oe-is-for-oedipean-riddle/,yes,
Riddles,2,Gift Riddle,https://lettersfortitles.com/gift-riddle/,yes,
Riddles,3,Night Riddle,https://lettersfortitles.com/night-riddle/,yes,decoded in 0.18.0
Riddles,4,ᛞ,https://lettersfortitles.com/%E1%9B%9E/,yes,
Riddles,5,R is for Riddle,https://lettersfortitles.com/r-is-for-riddle/,yes,
Riddles,6,Translating Ior,https://lettersfortitles.com/translating-ior/,yes,
Mathematical Esoterica,1,How to See the Pair in the Middle,https://lettersfortitles.com/how-to-see-the-pair-in-the-middle/,yes,
Mathematical Esoterica,2,How to Navigate by the Sun,https://lettersfortitles.com/how-to-navigate-by-the-sun/,yes,
Mathematical Esoterica,3,P is for Poetry,https://lettersfortitles.com/p-is-for-poetry/,yes,
Mathematical Esoterica,4,How to Measure a Mile,https://lettersfortitles.com/how-to-measure-a-mile/,yes,
Mathematical Esoterica,5,How to Talk to God,https://lettersfortitles.com/how-to-talk-to-god/,yes,
Mathematical Esoterica,6,The Oxen of the Sun,https://lettersfortitles.com/the-oxen-of-the-sun/,yes,
Mathematical Esoterica,7,How to Die,https://lettersfortitles.com/how-to-die/,yes,
Mathematical Esoterica,8,Octave,https://lettersfortitles.com/octave/,yes,
Mathematical Esoterica,9,How to Move a Cow,https://lettersfortitles.com/how-to-move-a-cow/,yes,
Past,1,S is for Saxon,https://lettersfortitles.com/s-is-for-saxon/,yes,
Past,2,P is for Poetry,https://lettersfortitles.com/p-is-for-poetry/,yes,
Past,3,Translating Tiw,https://lettersfortitles.com/translating-tiw/,yes,
Past,4,T is for Thincso,https://lettersfortitles.com/t-is-for-thincsus/,yes,
Past,5,Kings,https://lettersfortitles.com/kings/,yes,
Past,6,♂︎,https://lettersfortitles.com/%E2%99%82%EF%B8%8E/,yes,
Past,7,Eo is for Eorl,https://lettersfortitles.com/eo-is-for-eorl/,yes,
Past,8,War and Peace,https://lettersfortitles.com/war-and-peace/,yes,
Past,9,How to Listen to a Horse,https://lettersfortitles.com/how-to-listen-to-a-horse/,yes,
Past,10,Translating Ing,https://lettersfortitles.com/translating-ing/,yes,
Past,11,Ing is for Nerþus,https://lettersfortitles.com/ing-is-for-nerthus/,yes,
Past,12,Th is for Ye,https://lettersfortitles.com/th-is-for-ye/,yes,
Past,13,Bad Idea,https://lettersfortitles.com/bad-idea/,yes,
Past,14,Byþ,https://lettersfortitles.com/byth/,yes,also Future
Future,1,The Future,https://lettersfortitles.com/the-future/,yes,
Future,2,Wyrd,https://lettersfortitles.com/wyrd/,yes,
Future,3,Rune Casting: Ur,https://lettersfortitles.com/rune-casting-ur/,yes,
Future,4,Byþ,https://lettersfortitles.com/byth/,yes,also Past
Future,5,Rune Casting: Feoh,https://lettersfortitles.com/rune-casting-feoh/,yes,
Future,6,Rune Casting: Ear,https://lettersfortitles.com/rune-casting-ear/,yes,
Letter,1,E is for ⁊,https://lettersfortitles.com/e-is-for-%E2%81%8A/,yes,
Letter,2,How to Listen to a Horse,https://lettersfortitles.com/how-to-listen-to-a-horse/,yes,
Letter,3,X≠Y≠Z: Letter,https://lettersfortitles.com/x%E2%89%A0y%E2%89%A0z-letter/,yes,
Letter,4,The Oxen of the Sun,https://lettersfortitles.com/the-oxen-of-the-sun/,yes,
