chapter,stream,braid_first,braid_second,first_archive_position,second_archive_position,relation,result,check_class,independence_note
Sitting to Battle,glyph,Sigel,Peorþ,3,2,descending,pass,independent_retrocheck,path reconstructed before reversal rule
Sitting to Battle,casting,Sigel,Peorþ,3,2,descending,pass,independent_retrocheck,path reconstructed before reversal rule
Sitting to Battle,translation,Peorþ,Sigel,3,2,descending,pass,independent_retrocheck,path reconstructed before reversal rule
Sitting to Battle,stanza,Sigel,Peorþ,3,2,descending,pass,independent_retrocheck,path reconstructed before reversal rule
Trust,glyph,Eoh,Tiw,5,4,descending,pass,independent_retrocheck,path reconstructed before reversal rule
Trust,casting,Tiw,Eoh,5,4,descending,pass,independent_retrocheck,path reconstructed before reversal rule
Trust,translation,Tiw,Eoh,5,4,descending,pass,independent_retrocheck,path reconstructed before reversal rule
Trust,stanza,Eoh,Tiw,5,4,descending,pass,independent_retrocheck,path reconstructed before reversal rule
The Future,glyph,Ger,Beorc,7,6,descending,pass,independent_retrocheck,path reconstructed before reversal rule
The Future,casting,Ger,Beorc,7,6,descending,pass,independent_retrocheck,path reconstructed before reversal rule
The Future,translation,Ger,Beorc,7,6,descending,pass,independent_retrocheck,path reconstructed before reversal rule
The Future,stanza,Beorc,Ger,7,6,descending,pass,independent_retrocheck,path reconstructed before reversal rule
War and Peace,glyph,Eh,Is,9,8,descending,pass,independent_retrocheck,path reconstructed before reversal rule
War and Peace,casting,Eh,Is,9,8,descending,pass,independent_retrocheck,path reconstructed before reversal rule
War and Peace,translation,Eh,Is,9,8,descending,pass,independent_retrocheck,path reconstructed before reversal rule
War and Peace,stanza,Is,Eh,9,8,descending,pass,independent_retrocheck,path reconstructed before reversal rule
Fate,glyph,Mann,Nyd,11,10,descending,pass,independent_retrocheck,path reconstructed before reversal rule
Fate,casting,Mann,Nyd,11,10,descending,pass,independent_retrocheck,path reconstructed before reversal rule
Fate,translation,Nyd,Mann,12,11,descending,pass,independent_retrocheck,path reconstructed before reversal rule
Fate,stanza,Mann,Nyd,11,10,descending,pass,independent_retrocheck,path reconstructed before reversal rule
The Water Cycle,glyph,Lagu,Hægl,13,12,descending,pass,independent_retrocheck,path reconstructed before reversal rule
The Water Cycle,casting,Hægl,Lagu,13,12,descending,pass,independent_retrocheck,path reconstructed before reversal rule
The Water Cycle,translation,Lagu,Hægl,15,14,descending,pass,independent_retrocheck,path reconstructed before reversal rule
The Water Cycle,stanza,Hægl,Lagu,13,12,descending,pass,independent_retrocheck,path reconstructed before reversal rule
Prosperity,glyph,Ing,Wyn,15,14,descending,pass,independent_retrocheck,path reconstructed before reversal rule
Prosperity,casting,Ing,Wyn,15,14,descending,pass,independent_retrocheck,path reconstructed before reversal rule
Prosperity,translation,Wyn,Ing,18,17,descending,pass,independent_retrocheck,path reconstructed before reversal rule
Prosperity,stanza,Ing,Wyn,15,14,descending,pass,independent_retrocheck,path reconstructed before reversal rule
You Have Nothing Else,glyph,Gifu,Eþel,17,16,descending,pass,independent_retrocheck,path reconstructed before reversal rule
You Have Nothing Else,casting,Gifu,Eþel,17,16,descending,pass,independent_retrocheck,path reconstructed before reversal rule
You Have Nothing Else,translation,Eþel,Gifu,21,20,descending,pass,independent_retrocheck,path reconstructed before reversal rule
You Have Nothing Else,stanza,Gifu,Eþel,17,16,descending,pass,independent_retrocheck,path reconstructed before reversal rule
