rune_index,rune,glyph,site_chapter_theme,reflected_partner,stanza_url,direct_translation_url,direct_rune_casting_url,glyph_page_url
1,Feoh,ᚠ,Everything is Temporary,Ear,https://lettersfortitles.com/stanza-1-wealth/,https://lettersfortitles.com/translating-feoh/,https://lettersfortitles.com/rune-casting-feoh/,https://lettersfortitles.com/%E1%9A%A0/
2,Ur,ᚢ,Moody Joy,Ior,https://lettersfortitles.com/aurochs/,https://lettersfortitles.com/translating-ur/,https://lettersfortitles.com/rune-casting-ur/,https://lettersfortitles.com/%E1%9A%A2/
3,Thorn,ᚦ,They'll Cut You,Yr,https://lettersfortitles.com/thorn/,https://lettersfortitles.com/translating-thorn/,https://lettersfortitles.com/rune-casting-thorn/,https://lettersfortitles.com/th/
4,Os,ᚩ,Axis Mundi,Æsc,https://lettersfortitles.com/god-mouth/,https://lettersfortitles.com/translating-os/,https://lettersfortitles.com/rune-casting-os/,https://lettersfortitles.com/%E1%9A%A9/
5,Rad,ᚱ,By Land and By Sea,Ac,https://lettersfortitles.com/stanza-25-the-ride/,https://lettersfortitles.com/translating-rad/,https://lettersfortitles.com/rune-casting-rad/,https://lettersfortitles.com/%E1%9A%B1/
6,Cen,ᚳ,Light,Dæg,https://lettersfortitles.com/stanza-6-torch/,https://lettersfortitles.com/translating-cen/,https://lettersfortitles.com/rune-casting-cen/,https://lettersfortitles.com/%E1%9A%B3/
7,Gifu,ᚷ,You Have Nothing Else,Eþel,https://lettersfortitles.com/gift/,https://lettersfortitles.com/translating-gifu/,https://lettersfortitles.com/rune-casting-gifu/,https://lettersfortitles.com/%E1%9A%B7/
8,Wyn,ᚹ,Prosperity,Ing,https://lettersfortitles.com/stanza-8-joy/,https://lettersfortitles.com/translating-wyn/,https://lettersfortitles.com/rune-casting-wyn/,https://lettersfortitles.com/%E1%9A%B9/
9,Hægl,ᚻ,The Water Cycle,Lagu,https://lettersfortitles.com/hail/,https://lettersfortitles.com/deus-absconditus/,https://lettersfortitles.com/rune-casting-haegl/,https://lettersfortitles.com/%E1%9A%BB/
10,Nyd,ᚾ,Fate,Mann,https://lettersfortitles.com/stanza-10-need/,https://lettersfortitles.com/translating-nyd/,https://lettersfortitles.com/rune-casting-nyd/,https://lettersfortitles.com/%E1%9A%BE/
11,Is,ᛁ,War and Peace,Eh,https://lettersfortitles.com/stanza-11-ice/,https://lettersfortitles.com/translating-is/,https://lettersfortitles.com/rune-casting-is/,https://lettersfortitles.com/%E1%9B%81/
12,Ger,ᛄ,The Future,Beorc,https://lettersfortitles.com/stanza-12-year/,https://lettersfortitles.com/translating-ger/,https://lettersfortitles.com/rune-casting-ger/,https://lettersfortitles.com/%E1%9B%84/
13,Eoh,ᛇ,Trust,Tiw,https://lettersfortitles.com/stanza-13-yew/,https://lettersfortitles.com/translating-yew/,https://lettersfortitles.com/rune-casting-eoh/,https://lettersfortitles.com/%E1%9B%87/
14,Peorþ,ᛈ,Sitting to Battle,Sigel,https://lettersfortitles.com/the-game/,https://lettersfortitles.com/translating-peord/,https://lettersfortitles.com/rune-casting-peorth/,https://lettersfortitles.com/%E1%9B%88/
15,Eolhx,ᛉ,Twist / Middle,Eolhx,https://lettersfortitles.com/stanza-15-helix/,https://lettersfortitles.com/translating-helix/,https://lettersfortitles.com/rune-casting-eolhx/,https://lettersfortitles.com/%E1%9B%89/
16,Sigel,ᛋ,Sitting to Battle,Peorþ,https://lettersfortitles.com/sun/,https://lettersfortitles.com/translating-sigel/,https://lettersfortitles.com/rune-casting-sigel/,https://lettersfortitles.com/%E1%9B%8B/
17,Tiw,ᛏ,Trust,Eoh,https://lettersfortitles.com/stanza-17-tiw/,https://lettersfortitles.com/translating-tiw/,https://lettersfortitles.com/rune-casting-tiw/,https://lettersfortitles.com/%E1%9B%8F/
18,Beorc,ᛒ,The Future,Ger,https://lettersfortitles.com/birch/,https://lettersfortitles.com/translating-beorc/,https://lettersfortitles.com/rune-casting-beorc/,https://lettersfortitles.com/%E1%9B%92/
19,Eh,ᛖ,War and Peace,Is,https://lettersfortitles.com/stanza-19-war-horse/,https://lettersfortitles.com/translating-eh/,https://lettersfortitles.com/rune-casting-eh/,https://lettersfortitles.com/%E1%9B%96/
20,Mann,ᛗ,Fate,Nyd,https://lettersfortitles.com/human/,https://lettersfortitles.com/translating-mann/,https://lettersfortitles.com/rune-casting-mann/,https://lettersfortitles.com/%E1%9B%97/
21,Lagu,ᛚ,The Water Cycle,Hægl,https://lettersfortitles.com/the-sea/,https://lettersfortitles.com/translating-lagu/,https://lettersfortitles.com/rune-casting-lagu/,https://lettersfortitles.com/%E1%9B%9A/
22,Ing,ᛝ,Prosperity,Wyn,https://lettersfortitles.com/ing/,https://lettersfortitles.com/translating-ing/,https://lettersfortitles.com/rune-casting-ing/,https://lettersfortitles.com/%E1%9B%9D/
23,Eþel,ᛟ,You Have Nothing Else,Gifu,https://lettersfortitles.com/stanza-23-home/,https://lettersfortitles.com/translating-ethel/,https://lettersfortitles.com/rune-casting-ethel/,https://lettersfortitles.com/%E1%9B%9F/
24,Dæg,ᛞ,Light,Cen,https://lettersfortitles.com/stanza-24-day/,https://lettersfortitles.com/translating-day/,https://lettersfortitles.com/rune-casting-daeg/,https://lettersfortitles.com/%E1%9B%9E/
25,Ac,ᚪ,By Land and By Sea,Rad,https://lettersfortitles.com/stanza-25-oak/,https://lettersfortitles.com/translating-ac/,https://lettersfortitles.com/rune-casting-ac/,https://lettersfortitles.com/%E1%9A%AA/
26,Æsc,ᚫ,Axis Mundi,Os,https://lettersfortitles.com/ash/,https://lettersfortitles.com/translating-ash/,https://lettersfortitles.com/rune-casting-aesc/,https://lettersfortitles.com/%E1%9A%AB/
27,Yr,ᚣ,They'll Cut You,Thorn,https://lettersfortitles.com/yew-bow/,https://lettersfortitles.com/translating-yr/,https://lettersfortitles.com/rune-casting-yr/,https://lettersfortitles.com/%E1%9A%A3/
28,Ior,ᛡ,Moody Joy,Ur,https://lettersfortitles.com/beaver/,https://lettersfortitles.com/translating-ior/,https://lettersfortitles.com/rune-casting-ior/,https://lettersfortitles.com/%E1%9B%A1/
29,Ear,ᛠ,Everything is Temporary,Feoh,https://lettersfortitles.com/the-grave/,https://lettersfortitles.com/translating-ear/,https://lettersfortitles.com/rune-casting-ear/,https://lettersfortitles.com/%E1%9B%A0/
