chapter_from_outside,left_index,left_rune,left_glyph,right_index,right_rune,right_glyph,site_chapter_theme,relation_status
1,1,Feoh,ᚠ,29,Ear,ᛠ,Everything is Temporary,explicitly supported by site orientation and archive categories
2,2,Ur,ᚢ,28,Ior,ᛡ,Moody Joy,supported by rune-casting archive placement/category
3,3,Thorn,ᚦ,27,Yr,ᚣ,They'll Cut You,supported by rune-casting archive category
4,4,Os,ᚩ,26,Æsc,ᚫ,Axis Mundi,explicit in rune-casting archive
5,5,Rad,ᚱ,25,Ac,ᚪ,By Land and By Sea,explicit in rune-casting archive
6,6,Cen,ᚳ,24,Dæg,ᛞ,Light,explicit in rune-casting archive
7,7,Gifu,ᚷ,23,Eþel,ᛟ,You Have Nothing Else,explicit in rune-casting archive
8,8,Wyn,ᚹ,22,Ing,ᛝ,Prosperity,explicit in rune-casting archive
9,9,Hægl,ᚻ,21,Lagu,ᛚ,The Water Cycle,explicit in rune-casting archive
10,10,Nyd,ᚾ,20,Mann,ᛗ,Fate,explicit in rune-casting archive
11,11,Is,ᛁ,19,Eh,ᛖ,War and Peace,explicit in rune-casting archive
12,12,Ger,ᛄ,18,Beorc,ᛒ,The Future,explicit in rune-casting archive
13,13,Eoh,ᛇ,17,Tiw,ᛏ,Trust,explicit in rune-casting archive
14,14,Peorþ,ᛈ,16,Sigel,ᛋ,Sitting to Battle,explicit in rune-casting archive
15,15,Eolhx,ᛉ,15,Eolhx,ᛉ,Twist / Middle,explicit solitary middle; internal plurality remains open
