"link_type","target_title","target_url","observation_status"
"previous","ᚩ","https://lettersfortitles.com/%E1%9A%A9/","observed directly on live page 2026-08-27"
"next","Rune Casting: Os","https://lettersfortitles.com/rune-casting-os/","observed directly on live page 2026-08-27"
"internal","ᚩ","https://lettersfortitles.com/%E1%9A%A9/","observed directly in body"
"internal","ᚪ","https://lettersfortitles.com/%E1%9A%AA/","observed directly in body"
"internal","Everything is Temporary","https://lettersfortitles.com/everything-temporary/","observed directly in fold enumeration"
"internal","Moody Joy","https://lettersfortitles.com/moody-joy/","observed directly in fold enumeration"
"internal","They'll Cut You","https://lettersfortitles.com/they-cut/","observed directly in fold enumeration"
"internal","Axis Mundi","https://lettersfortitles.com/axismundi/","observed directly in fold enumeration"
"internal","By Land and By Sea","https://lettersfortitles.com/by-land-and-by-sea/","observed directly in body"
"category","Axis Mundi","https://lettersfortitles.com/category/axis-mundi/","observed directly on live page 2026-08-27"
