"link_type","target_title","target_url","observation_status"
"previous","The Ogam Ash Tree","https://lettersfortitles.com/ogam-ash-tree/","observed directly on live page 2026-08-27"
"next","Truth","https://lettersfortitles.com/truth/","observed directly on live page 2026-08-27"
"internal","ᚪ / Baltic Sea Coast","https://lettersfortitles.com/%E1%9A%AA/","observed directly in body"
"internal","Vern Tonkin / maker mark","https://lettersfortitles.com/vern-tonkin/","observed directly in body"
"internal","ᚫ / flipped runes","https://lettersfortitles.com/%E1%9A%AB/","observed directly in body"
"internal","Translating Os / Gods' mouth","https://lettersfortitles.com/translating-os/","observed directly in body; two occurrences"
"internal","Translating Feoh / judgement","https://lettersfortitles.com/translating-feoh/","observed directly in body"
"internal","The Ogam Ash Tree","https://lettersfortitles.com/ogam-ash-tree/","observed directly in body"
"internal","Translating Helix","https://lettersfortitles.com/translating-helix/","observed directly in body"
"internal","Stanza 4: God","https://lettersfortitles.com/god-mouth/","observed directly in body"
"internal","The Middle","https://lettersfortitles.com/the-middle/","observed directly in body"
"internal","How to See the Pair in the Middle","https://lettersfortitles.com/how-to-see-the-pair-in-the-middle/","observed directly in body"
"internal","Translating Beorc","https://lettersfortitles.com/translating-beorc/","observed directly in body"
"category","Axis Mundi","https://lettersfortitles.com/category/axis-mundi/","observed directly on live page 2026-08-27"
