"link_type","target_title","target_url","observation_status"
"previous","Shh","https://lettersfortitles.com/shh/","observed directly on live page 2026-08-27"
"next","Axis Mundi","https://lettersfortitles.com/axismundi/","observed directly on live page 2026-08-27"
"internal","Crann Bethadh","https://lettersfortitles.com/crann-bethadh/","observed directly in body"
"internal","Translating Ear","https://lettersfortitles.com/translating-ear/","observed directly in body"
"internal","ᚱ / Rad glyph","https://lettersfortitles.com/%E1%9A%B1/","observed directly in body"
"internal","Translating Æsc","https://lettersfortitles.com/translating-ash/","observed directly in body"
"internal","ᚩ / Os glyph","https://lettersfortitles.com/%E1%9A%A9/","observed directly in body"
"internal","Stanza 26: Ash","https://lettersfortitles.com/ash/","observed directly in body"
"internal","ᚾ / Nyd glyph","https://lettersfortitles.com/%E1%9A%BE/","observed directly in body"
"category","Axis Mundi","https://lettersfortitles.com/category/axis-mundi/","observed directly on live page 2026-08-27"
