"link_type","target_title","target_url","observation_status"
"previous","How to Talk to God","https://lettersfortitles.com/how-to-talk-to-god/","observed directly on live page 2026-08-27"
"next","Translating Æsc","https://lettersfortitles.com/translating-ash/","observed directly on live page 2026-08-27; displayed title differs from canonical slug"
"internal","Translating Tiw","https://lettersfortitles.com/translating-tiw/","observed directly in body"
"internal","Translating Ing","https://lettersfortitles.com/translating-ing/","observed directly in body"
"internal","Ing is for Nerthus","https://lettersfortitles.com/ing-is-for-nerthus/","observed directly in body"
"internal","How to Burn it All Down","https://lettersfortitles.com/how-to-burn-it-all-down/","observed directly in body"
"internal","Translating Æsc","https://lettersfortitles.com/translating-ash/","observed directly in body"
"internal","Axis Mundi","https://lettersfortitles.com/axismundi/","observed directly in body"
"internal","Translating Ur","https://lettersfortitles.com/translating-ur/","observed directly in body"
"internal","Translating Helix","https://lettersfortitles.com/translating-helix/","observed directly in body"
"internal","Translating Day","https://lettersfortitles.com/translating-day/","observed directly in body"
"category","Axis Mundi","https://lettersfortitles.com/category/axis-mundi/","observed directly on live page 2026-08-27"
