"link_type","target_title","target_url","observation_status"
"previous","How To Declare War","https://lettersfortitles.com/how-to-declare-war/","observed directly 2026-08-28"
"next","Translating Thorn","https://lettersfortitles.com/translating-thorn/","observed directly 2026-08-28"
"internal","Translating Yew","https://lettersfortitles.com/translating-yew/","observed in body"
"internal","Rune Casting: Yr","https://lettersfortitles.com/rune-casting-yr/","observed in body"
"internal","Eo is for Eorl","https://lettersfortitles.com/eo-is-for-eorl/","observed in body"
"internal","Translating Tiw","https://lettersfortitles.com/translating-tiw/","observed in body"
"internal","Translating Eh","https://lettersfortitles.com/translating-eh/","observed in body"
"internal","They'll Cut You","https://lettersfortitles.com/they-cut/","observed in body"
"internal","Translating Ear","https://lettersfortitles.com/translating-ear/","observed in body"
"internal","Translating Wyn","https://lettersfortitles.com/translating-wyn/","observed in body"
"category","They'll Cut You","https://lettersfortitles.com/category/theyll-cut-you/","observed directly"
